Model,MSO54
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.600000e-07
Record Length,81250
Zero Index,5745.281986
Vertical Units,A

TIME,CH3
-8.778051e-04,2.343750e-02
-8.776451e-04,-1.343750e+00
-8.774851e-04,-3.515625e-01
-8.773251e-04,-6.796875e-01
-8.771651e-04,-1.117188e+00
-8.770051e-04,5.078125e-01
-8.768451e-04,2.812500e-01
-8.766851e-04,-7.265625e-01
-8.765251e-04,3.593750e-01
-8.763651e-04,-1.351562e+00
-8.762051e-04,1.468750e+00
-8.760451e-04,3.171875e+00
-8.758851e-04,1.070312e+00
-8.757251e-04,4.609375e-01
-8.755651e-04,4.765625e-01
-8.754051e-04,4.765625e-01
-8.752451e-04,-1.203125e+00
-8.750851e-04,-1.218750e+00
-8.749251e-04,9.453125e-01
-8.747651e-04,-3.828125e-01
-8.746051e-04,-1.375000e+00
-8.744451e-04,3.046875e-01
-8.742851e-04,-5.390625e-01
-8.741251e-04,2.968750e-01
-8.739651e-04,-7.265625e-01
-8.738051e-04,-6.718750e-01
-8.736451e-04,8.593750e-02
-8.734851e-04,-1.156250e+00
-8.733251e-04,-7.578125e-01
-8.731651e-04,1.117188e+00
-8.730051e-04,-4.140625e-01
-8.728451e-04,-1.640625e+00
-8.726851e-04,-4.218750e-01
-8.725251e-04,-4.687500e-02
-8.723651e-04,4.531250e-01
-8.722051e-04,-6.015625e-01
-8.720451e-04,1.187500e+00
-8.718851e-04,-8.671875e-01
-8.717251e-04,-1.585938e+00
-8.715651e-04,-3.515625e-01
-8.714051e-04,-3.593750e-01
-8.712451e-04,4.687500e-01
-8.710851e-04,2.187500e-01
-8.709251e-04,4.296875e-01
-8.707651e-04,-1.617188e+00
-8.706051e-04,2.578125e-01
-8.704451e-04,-1.250000e-01
-8.702851e-04,-7.265625e-01
-8.701251e-04,-7.031250e-02
-8.699651e-04,-3.046875e-01
-8.698051e-04,-9.140625e-01
-8.696451e-04,1.718750e-01
-8.694851e-04,-1.625000e+00
-8.693251e-04,1.554688e+00
-8.691651e-04,-9.453125e-01
-8.690051e-04,7.812500e-03
-8.688451e-04,-5.625000e-01
-8.686851e-04,-1.546875e+00
-8.685251e-04,3.906250e-02
-8.683651e-04,-5.000000e-01
-8.682051e-04,6.640625e-01
-8.680451e-04,-1.718750e-01
-8.678851e-04,-6.796875e-01
-8.677251e-04,1.210938e+00
-8.675651e-04,-3.437500e-01
-8.674051e-04,2.500000e+00
-8.672451e-04,2.187500e-01
-8.670851e-04,1.265625e+00
-8.669251e-04,2.656250e-01
-8.667651e-04,-1.015625e-01
-8.666051e-04,-3.906250e-02
-8.664451e-04,-6.171875e-01
-8.662851e-04,-1.179688e+00
-8.661251e-04,9.609375e-01
-8.659651e-04,1.640625e-01
-8.658051e-04,-2.523438e+00
-8.656451e-04,3.437500e-01
-8.654851e-04,3.125000e-01
-8.653251e-04,-4.531250e-01
-8.651651e-04,-7.656250e-01
-8.650051e-04,-2.812500e-01
-8.648451e-04,2.656250e-01
-8.646851e-04,-6.093750e-01
-8.645251e-04,-4.843750e-01
-8.643651e-04,1.328125e-01
-8.642051e-04,2.125000e+00
-8.640451e-04,-3.281250e-01
-8.638851e-04,-1.093750e-01
-8.637251e-04,-3.671875e-01
-8.635651e-04,-4.140625e-01
-8.634051e-04,-1.664062e+00
-8.632451e-04,-1.679688e+00
-8.630851e-04,-6.328125e-01
-8.629251e-04,7.812500e-03
-8.627651e-04,-7.343750e-01
-8.626051e-04,-1.148438e+00
-8.624451e-04,-6.796875e-01
-8.622851e-04,-1.601562e+00
-8.621251e-04,3.671875e-01
-8.619651e-04,-1.562500e-01
-8.618051e-04,-1.117188e+00
-8.616451e-04,1.578125e+00
-8.614851e-04,-1.328125e-01
-8.613251e-04,3.906250e-01
-8.611651e-04,-5.781250e-01
-8.610051e-04,3.359375e-01
-8.608451e-04,-2.812500e-01
-8.606851e-04,1.007812e+00
-8.605251e-04,-4.687500e-02
-8.603651e-04,-7.500000e-01
-8.602051e-04,-9.687500e-01
-8.600451e-04,4.687500e-02
-8.598851e-04,1.062500e+00
-8.597251e-04,-6.171875e-01
-8.595651e-04,1.328125e-01
-8.594051e-04,-2.968750e-01
-8.592451e-04,-9.375000e-01
-8.590851e-04,6.093750e-01
-8.589251e-04,3.750000e-01
-8.587651e-04,8.046875e-01
-8.586051e-04,-2.812500e-01
-8.584451e-04,-1.101562e+00
-8.582851e-04,-9.921875e-01
-8.581251e-04,-9.921875e-01
-8.579651e-04,8.593750e-01
-8.578051e-04,3.281250e-01
-8.576451e-04,-1.726562e+00
-8.574851e-04,2.421875e-01
-8.573251e-04,-1.937500e+00
-8.571651e-04,-7.031250e-01
-8.570051e-04,7.656250e-01
-8.568451e-04,-5.781250e-01
-8.566851e-04,-8.984375e-01
-8.565251e-04,-1.203125e+00
-8.563651e-04,1.851562e+00
-8.562051e-04,-2.890625e-01
-8.560451e-04,-7.890625e-01
-8.558851e-04,3.671875e-01
-8.557251e-04,1.484375e-01
-8.555651e-04,-1.531250e+00
-8.554051e-04,1.617188e+00
-8.552451e-04,3.015625e+00
-8.550851e-04,1.093750e-01
-8.549251e-04,3.671875e-01
-8.547651e-04,7.890625e-01
-8.546051e-04,-4.218750e-01
-8.544451e-04,8.593750e-02
-8.542851e-04,8.437500e-01
-8.541251e-04,-9.375000e-01
-8.539651e-04,6.328125e-01
-8.538051e-04,7.187500e-01
-8.536451e-04,-1.031250e+00
-8.534851e-04,-3.125000e-01
-8.533251e-04,7.656250e-01
-8.531651e-04,-1.179688e+00
-8.530051e-04,1.562500e-02
-8.528451e-04,-9.375000e-02
-8.526851e-04,4.375000e-01
-8.525251e-04,-1.046875e+00
-8.523651e-04,1.296875e+00
-8.522051e-04,-8.515625e-01
-8.520451e-04,1.789062e+00
-8.518851e-04,6.171875e-01
-8.517251e-04,7.812500e-03
-8.515651e-04,-5.625000e-01
-8.514051e-04,-1.156250e+00
-8.512451e-04,3.046875e-01
-8.510851e-04,-1.406250e+00
-8.509251e-04,-4.765625e-01
-8.507651e-04,8.750000e-01
-8.506051e-04,-1.078125e+00
